-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 11/01/2021 through 03/09/2022 
Location: Latitude  26.5064   Longitude 80.2808 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 130.11 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
PS                      MERRA-2 Surface Pressure (kPa) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/hour) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
SZA                     CERES SYN1deg Solar Zenith Angle (Degrees) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W/m^2) 
-END HEADER-
YEAR,MO,DY,HR,WD10M,WS10M,PS,PRECTOTCORR,RH2M,QV2M,ALLSKY_SFC_LW_DWN,T2MWET,T2M,T2MDEW,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA,SZA,ALLSKY_SRF_ALB,ALLSKY_SFC_SW_DWN
2021,11,1,13,337.82,1.74,99.8,0.0,44.81,10.19,358.62,20.75,27.26,14.23,2.0,0.41,18.99,51.71,0.12,456.77
2021,11,1,14,344.17,1.58,99.77,0.0,44.44,10.01,356.33,20.54,27.1,13.97,0.98,0.2,12.38,61.59,0.09,307.95
2021,11,1,15,0.0,1.15,99.75,0.0,46.69,10.25,356.35,20.45,26.64,14.27,0.27,0.05,6.5,73.03,0.17,156.93
2021,11,1,16,36.97,0.87,99.75,0.0,54.62,10.99,344.98,20.3,25.21,15.39,0.02,0.0,1.25,85.27,0.15,30.23
2021,11,1,17,89.65,1.29,99.78,0.0,56.12,10.01,339.0,18.6,23.19,14.01,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,1,18,111.67,1.84,99.84,0.0,63.0,10.19,334.73,17.9,21.55,14.25,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,1,19,124.86,2.23,99.88,0.0,69.81,10.25,331.15,17.24,20.06,14.41,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,1,20,135.52,2.43,99.91,0.0,74.0,10.19,329.12,16.64,18.99,14.29,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,1,21,144.67,2.5,99.92,0.0,76.25,10.01,325.1,16.14,18.26,14.03,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,1,22,152.54,2.46,99.92,0.0,77.25,9.83,321.65,15.71,17.71,13.71,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,1,23,160.84,2.33,99.91,0.0,77.69,9.58,319.98,15.33,17.28,13.38,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,2,0,169.42,2.17,99.9,0.0,77.88,9.4,317.27,14.98,16.9,13.05,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,2,1,177.79,2.02,99.89,0.0,78.38,9.22,314.12,14.64,16.51,12.76,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,2,2,187.45,1.87,99.88,0.0,79.31,9.09,311.65,14.29,16.07,12.51,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,2,3,199.57,1.75,99.89,0.0,80.69,8.91,309.6,13.91,15.55,12.27,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,2,4,209.61,1.64,99.93,0.0,81.75,8.79,307.83,13.56,15.1,12.02,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,2,5,216.69,1.53,100.0,0.0,82.25,8.67,306.12,13.27,14.76,11.79,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,2,6,222.47,1.38,100.07,0.0,84.69,8.91,308.0,13.51,14.77,12.23,0.05,0.01,3.02,81.82,0.15,63.13
2021,11,2,7,231.03,1.37,100.15,0.0,79.31,9.34,314.9,14.79,16.58,12.99,0.48,0.09,8.88,69.83,0.02,212.02
2021,11,2,8,236.44,0.95,100.2,0.0,74.69,9.83,324.9,16.01,18.29,13.73,1.42,0.29,16.72,58.79,0.08,386.27
2021,11,2,9,188.75,0.41,100.22,0.0,65.75,10.5,337.95,18.08,21.4,14.76,2.58,0.52,23.55,49.57,0.12,525.81
2021,11,2,10,92.18,0.82,100.18,0.0,52.38,10.38,347.48,19.8,24.99,14.6,3.73,0.73,29.51,43.38,0.12,626.67
2021,11,2,11,88.51,1.2,100.07,0.0,49.94,10.62,352.35,20.58,26.2,14.96,3.92,0.77,30.16,41.59,0.12,642.81
2021,11,2,12,85.5,1.29,99.95,0.0,49.62,10.86,353.67,20.93,26.61,15.25,3.4,0.67,27.69,44.76,0.11,597.94
2021,11,2,13,79.23,1.3,99.86,0.0,49.81,10.99,354.48,21.06,26.71,15.4,2.12,0.43,20.58,51.96,0.1,474.86
2021,11,2,14,72.12,1.27,99.83,0.0,51.38,11.17,363.98,21.06,26.47,15.65,1.1,0.22,13.83,61.8,0.05,320.9
2021,11,2,15,65.01,1.15,99.83,0.0,54.25,11.41,368.48,20.97,25.94,16.0,0.3,0.06,7.03,73.22,0.17,160.62
2021,11,2,16,62.57,1.15,99.85,0.0,66.5,12.63,358.3,20.86,24.2,17.51,0.02,0.01,1.41,85.41,0.16,32.58
2021,11,2,17,67.83,1.37,99.89,0.0,65.0,11.11,346.5,19.01,22.45,15.58,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,2,18,72.79,1.5,99.96,0.0,66.31,10.74,331.65,18.4,21.67,15.14,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,2,19,77.78,1.55,100.03,0.0,69.0,10.62,328.38,17.88,20.82,14.94,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,2,20,80.69,1.5,100.07,0.0,69.56,10.38,326.15,17.45,20.31,14.59,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,2,21,80.98,1.34,100.07,0.0,68.5,10.13,324.12,17.15,20.13,14.18,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,2,22,79.06,1.19,100.04,0.0,67.75,9.89,318.15,16.87,19.93,13.81,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,2,23,71.57,1.06,100.0,0.0,68.31,9.7,324.2,16.57,19.55,13.58,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,3,0,58.24,0.96,99.95,0.0,70.44,9.64,322.1,16.22,18.95,13.48,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,3,1,45.34,0.94,99.9,0.0,72.88,9.58,309.65,15.84,18.3,13.38,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,3,2,45.67,0.95,99.88,0.0,74.62,9.52,308.88,15.55,17.81,13.28,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,3,3,52.34,0.91,99.88,0.0,76.0,9.46,319.65,15.3,17.43,13.19,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,3,4,53.88,0.72,99.91,0.0,76.69,9.46,308.85,15.17,17.23,13.12,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,3,5,62.62,0.49,99.98,0.0,78.62,9.46,305.23,14.98,16.83,13.13,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,3,6,100.08,0.36,100.05,0.0,80.0,9.58,306.08,15.09,16.82,13.37,0.05,0.01,2.62,81.99,0.18,55.68
2021,11,3,7,166.81,0.51,100.13,0.0,80.12,10.31,312.0,16.2,17.94,14.48,0.45,0.09,8.79,70.01,0.17,211.98
2021,11,3,8,199.5,0.8,100.19,0.0,77.12,10.86,322.33,17.34,19.38,15.3,1.35,0.27,16.03,59.01,0.06,375.64
2021,11,3,9,173.53,0.76,100.2,0.0,65.12,11.29,334.33,19.35,22.78,15.92,2.48,0.5,23.12,49.83,0.09,519.4
2021,11,3,10,122.06,0.84,100.17,0.0,56.88,11.29,343.48,20.52,25.08,15.96,3.33,0.66,27.04,43.68,0.12,599.77
2021,11,3,11,82.79,0.69,100.09,0.0,54.81,11.47,349.42,21.05,25.94,16.17,3.58,0.7,28.09,41.91,0.13,619.57
2021,11,3,12,38.48,0.78,99.98,0.0,53.38,11.6,350.33,21.37,26.49,16.26,2.88,0.58,24.35,45.05,0.15,560.98
2021,11,3,13,13.64,1.09,99.89,0.0,52.81,11.6,348.8,21.49,26.69,16.29,2.25,0.45,22.0,52.21,0.09,491.05
2021,11,3,14,3.5,1.41,99.83,0.0,54.0,11.72,345.55,21.49,26.51,16.46,1.12,0.23,14.67,62.02,0.05,340.37
2021,11,3,15,1.66,1.35,99.8,0.0,57.31,12.15,357.92,21.51,26.05,16.96,0.27,0.05,6.64,73.39,0.18,155.59
2021,11,3,16,5.19,1.04,99.78,0.0,66.62,13.06,349.38,21.39,24.74,18.04,0.02,0.01,1.35,85.53,0.16,31.8
2021,11,3,17,18.23,0.67,99.78,0.0,58.94,10.93,330.17,19.54,23.8,15.28,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,3,18,45.91,0.35,99.84,0.0,58.62,10.5,326.33,19.02,23.31,14.73,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,3,19,123.23,0.27,99.89,0.0,61.0,10.5,326.58,18.62,22.58,14.66,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,3,20,171.38,0.52,99.93,0.0,65.25,10.5,323.77,18.14,21.54,14.74,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,3,21,195.39,0.88,99.95,0.0,67.81,10.31,324.48,17.57,20.64,14.5,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,3,22,207.53,1.25,99.95,0.0,73.44,10.31,354.33,16.89,19.32,14.46,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,3,23,216.54,1.61,99.93,0.0,78.06,10.25,342.4,16.28,18.21,14.35,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,4,0,223.18,1.92,99.9,0.0,83.06,10.13,327.1,15.61,17.05,14.17,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,4,1,229.01,2.13,99.86,0.0,86.88,9.95,307.75,15.01,16.09,13.93,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,4,2,234.3,2.22,99.84,0.0,89.38,9.83,311.67,14.54,15.4,13.68,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,4,3,240.5,2.25,99.84,0.0,91.06,9.64,308.12,14.15,14.87,13.44,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,4,4,247.34,2.31,99.87,0.0,93.19,9.52,306.58,13.81,14.34,13.28,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,4,5,252.95,2.35,99.93,0.0,95.25,9.46,306.7,13.51,13.87,13.14,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,4,6,257.2,2.19,100.0,0.0,95.0,9.58,305.25,13.73,14.11,13.34,0.05,0.01,2.72,82.17,0.18,57.08
2021,11,4,7,259.67,2.7,100.06,0.0,85.0,10.01,309.65,15.26,16.51,14.01,0.48,0.09,9.31,70.2,0.02,217.87
2021,11,4,8,257.92,2.28,100.11,0.0,80.44,10.62,317.3,16.62,18.31,14.92,1.5,0.3,17.67,59.23,0.08,397.58
2021,11,4,9,252.91,1.99,100.12,0.0,69.75,11.23,328.12,18.66,21.54,15.79,2.7,0.55,25.05,50.09,0.12,542.73
2021,11,4,10,248.56,1.84,100.06,0.0,57.5,10.99,337.92,19.91,24.37,15.46,3.88,0.77,31.06,43.97,0.12,642.7
2021,11,4,11,243.77,1.77,99.97,0.0,54.62,11.17,343.67,20.56,25.44,15.68,4.1,0.81,31.85,42.22,0.13,660.27
2021,11,4,12,242.76,1.79,99.87,0.0,53.06,11.23,346.48,20.95,26.09,15.81,3.48,0.7,28.84,45.34,0.13,609.16
2021,11,4,13,244.98,1.81,99.8,0.0,52.69,11.35,347.65,21.12,26.33,15.91,2.4,0.48,23.41,52.46,0.09,507.41
2021,11,4,14,248.15,1.7,99.75,0.0,53.75,11.47,346.6,21.15,26.2,16.11,1.17,0.23,15.27,62.22,0.05,346.99
2021,11,4,15,249.48,1.43,99.73,0.0,57.0,11.84,346.62,21.15,25.73,16.58,0.33,0.06,7.82,73.56,0.15,178.01
2021,11,4,16,239.69,1.18,99.74,0.0,66.81,12.7,337.33,20.9,24.2,17.59,0.02,0.0,1.36,85.66,0.13,31.25
2021,11,4,17,212.54,1.07,99.76,0.0,62.44,10.93,332.45,19.11,22.87,15.34,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,4,18,190.55,1.15,99.8,0.0,63.88,10.68,328.35,18.55,22.12,14.99,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,4,19,183.08,1.31,99.85,0.0,65.88,10.5,324.77,18.08,21.39,14.77,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,4,20,181.21,1.48,99.88,0.0,68.31,10.38,321.1,17.61,20.61,14.6,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,4,21,180.53,1.7,99.89,0.0,70.56,10.31,319.35,17.17,19.91,14.43,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,4,22,181.62,1.93,99.88,0.0,74.44,10.19,315.0,16.65,18.95,14.33,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,4,23,184.37,2.15,99.85,0.0,78.0,10.13,315.5,16.1,18.04,14.17,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,5,0,188.21,2.35,99.83,0.0,80.88,9.95,309.15,15.58,17.23,13.94,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,5,1,194.04,2.48,99.8,0.0,83.12,9.77,308.48,15.07,16.5,13.65,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,5,2,202.85,2.53,99.79,0.0,84.69,9.58,307.4,14.58,15.86,13.31,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,5,3,213.01,2.55,99.79,0.0,85.88,9.34,307.45,14.12,15.28,12.95,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,5,4,223.12,2.53,99.81,0.0,87.12,9.16,307.85,13.65,14.69,12.6,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,5,5,232.58,2.43,99.86,0.0,88.25,8.91,303.42,13.23,14.16,12.28,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,5,6,240.61,2.2,99.91,0.0,89.56,9.16,317.27,13.44,14.28,12.6,0.05,0.01,2.49,82.34,0.17,53.48
2021,11,5,7,246.0,2.73,99.99,0.0,79.94,9.4,315.98,14.75,16.48,13.02,0.48,0.09,8.42,70.38,0.17,189.06
2021,11,5,8,246.12,2.32,100.04,0.0,76.19,9.95,339.35,16.01,18.12,13.9,1.4,0.28,15.59,59.45,0.17,345.61
2021,11,5,9,241.56,2.25,100.05,0.0,69.0,10.74,351.33,18.05,20.98,15.11,2.65,0.51,21.96,50.34,0.17,471.39
2021,11,5,10,239.5,2.8,100.01,0.0,56.88,10.56,354.73,19.4,23.93,14.88,3.55,0.68,26.48,44.27,0.12,552.5
2021,11,5,11,240.97,3.09,99.94,0.0,50.88,10.5,356.45,20.23,25.68,14.77,4.1,0.78,29.95,42.52,0.12,618.79
2021,11,5,12,243.56,3.11,99.84,0.0,48.69,10.56,349.23,20.62,26.44,14.78,3.52,0.7,28.49,45.61,0.12,599.65
2021,11,5,13,247.44,2.85,99.75,0.0,48.19,10.62,348.25,20.8,26.72,14.87,2.35,0.47,22.46,52.7,0.11,491.85
2021,11,5,14,251.34,2.54,99.69,0.0,49.0,10.68,350.85,20.71,26.49,14.94,1.12,0.23,14.38,62.42,0.08,329.91
2021,11,5,15,250.3,2.02,99.66,0.0,53.38,11.11,345.02,20.69,25.79,15.59,0.33,0.06,7.84,73.73,0.13,177.67
2021,11,5,16,242.48,1.67,99.64,0.0,67.0,12.51,340.92,20.62,23.9,17.36,0.02,0.0,1.23,85.77,0.15,28.72
2021,11,5,17,225.76,1.67,99.65,0.0,62.38,10.68,335.25,18.73,22.48,14.97,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,5,18,217.12,1.81,99.68,0.0,64.19,10.38,329.67,18.06,21.57,14.55,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,5,19,217.68,1.99,99.71,0.0,67.19,10.19,326.4,17.38,20.51,14.25,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,5,20,222.15,2.22,99.73,0.0,71.5,10.07,325.05,16.74,19.37,14.12,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,5,21,227.96,2.46,99.75,0.0,76.12,10.01,317.4,16.12,18.24,13.99,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,5,22,234.68,2.66,99.77,0.0,79.62,9.89,319.85,15.55,17.32,13.79,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,5,23,242.14,2.77,99.76,0.0,82.19,9.77,319.95,15.08,16.59,13.57,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,6,0,249.35,2.81,99.75,0.0,84.19,9.64,319.48,14.69,16.01,13.38,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,6,1,255.46,2.8,99.72,0.0,85.94,9.52,310.77,14.36,15.51,13.2,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,6,2,258.56,2.8,99.71,0.0,87.25,9.4,307.75,14.07,15.11,13.03,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,6,3,259.6,2.81,99.71,0.0,88.19,9.34,308.77,13.84,14.8,12.89,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,6,4,258.97,2.82,99.71,0.0,88.81,9.22,305.88,13.65,14.55,12.76,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,6,5,256.0,2.84,99.75,0.0,89.31,9.16,306.77,13.44,14.3,12.59,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,6,6,253.12,2.82,99.81,0.0,88.94,9.22,346.7,13.6,14.49,12.71,0.02,0.01,2.16,82.52,0.17,44.48
2021,11,6,7,249.66,3.57,99.89,0.0,81.0,9.52,322.55,14.85,16.48,13.23,0.48,0.09,8.59,70.56,0.07,200.47
2021,11,6,8,247.46,3.73,99.94,0.0,75.44,9.77,324.55,15.8,17.99,13.61,1.48,0.3,16.73,59.66,0.11,379.8
2021,11,6,9,248.15,3.11,99.94,0.0,73.12,10.74,332.88,17.57,20.05,15.1,2.62,0.52,23.45,50.6,0.16,520.94
2021,11,6,10,258.56,3.31,99.88,0.0,60.5,10.74,341.73,19.08,23.09,15.06,3.83,0.75,29.59,44.55,0.14,623.74
2021,11,6,11,270.13,3.41,99.79,0.0,52.75,10.56,372.98,19.93,25.08,14.78,3.25,0.62,24.11,42.81,0.12,552.14
2021,11,6,12,279.84,3.29,99.68,0.0,49.06,10.44,358.5,20.39,26.15,14.62,2.8,0.55,22.53,45.89,0.12,524.86
2021,11,6,13,286.99,3.13,99.57,0.0,46.94,10.19,360.83,20.37,26.48,14.25,1.88,0.38,17.51,52.93,0.1,424.88
2021,11,6,14,290.72,2.54,99.5,0.0,49.12,10.5,353.55,20.44,26.2,14.69,0.9,0.18,11.34,62.62,0.06,284.15
2021,11,6,15,289.79,2.4,99.47,0.0,53.5,10.8,352.25,20.14,25.2,15.08,0.23,0.05,5.6,73.89,0.18,136.95
2021,11,6,16,279.89,1.91,99.46,0.0,71.69,12.76,384.3,20.38,23.09,17.68,0.02,0.0,0.8,85.89,0.14,21.49
2021,11,6,17,269.39,2.21,99.48,0.0,65.88,10.68,333.27,18.26,21.58,14.95,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,6,18,262.81,2.5,99.52,0.0,69.38,10.5,331.42,17.55,20.43,14.66,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,6,19,260.88,2.81,99.57,0.0,73.12,10.31,332.2,16.86,19.31,14.4,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,6,20,258.63,3.05,99.59,0.0,76.06,10.07,330.7,16.2,18.34,14.07,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,6,21,257.12,3.19,99.6,0.0,78.19,9.83,323.4,15.62,17.52,13.71,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,6,22,257.64,3.25,99.6,0.0,80.0,9.58,320.75,15.04,16.76,13.31,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,6,23,258.74,3.24,99.58,0.0,81.62,9.4,320.9,14.52,16.08,12.97,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,7,0,259.13,3.19,99.57,0.0,83.25,9.22,314.88,14.1,15.51,12.7,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,7,1,259.36,3.13,99.57,0.0,84.44,9.09,322.77,13.78,15.07,12.49,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,7,2,260.99,3.09,99.56,0.0,85.56,8.97,317.55,13.47,14.65,12.28,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,7,3,264.3,3.07,99.56,0.0,86.44,8.79,315.5,13.12,14.22,12.01,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,7,4,267.95,3.06,99.58,0.0,87.12,8.61,314.1,12.76,13.8,11.73,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,7,5,269.55,3.01,99.64,0.0,87.75,8.48,310.67,12.46,13.44,11.48,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,7,6,266.86,2.86,99.71,0.0,87.69,8.54,341.95,12.6,13.59,11.61,0.02,0.01,1.98,82.7,0.17,42.41
2021,11,7,7,261.13,3.49,99.77,0.0,78.5,8.85,322.23,14.02,15.87,12.17,0.4,0.08,7.37,70.75,0.04,176.55
2021,11,7,8,250.76,3.34,99.81,0.0,73.75,9.22,337.33,15.13,17.49,12.77,1.17,0.23,13.5,59.88,0.09,314.4
2021,11,7,9,240.41,2.85,99.82,0.0,71.81,10.44,352.0,17.2,19.8,14.59,2.15,0.43,19.13,50.86,0.12,429.02
2021,11,7,10,253.91,3.33,99.8,0.0,60.69,10.56,375.88,18.76,22.75,14.79,2.92,0.55,21.83,44.84,0.13,477.02
2021,11,7,11,264.98,3.66,99.73,0.0,51.44,10.31,388.25,19.79,25.14,14.44,2.35,0.44,17.12,43.11,0.14,430.34
2021,11,7,12,273.56,3.65,99.65,0.0,46.94,10.13,400.67,20.23,26.34,14.12,1.75,0.33,13.35,46.16,0.18,337.41
2021,11,7,13,280.29,3.45,99.6,0.0,45.38,9.95,399.58,20.28,26.66,13.9,1.2,0.23,10.72,53.16,0.18,275.18
2021,11,7,14,286.18,2.89,99.56,0.0,49.69,10.56,402.92,20.39,26.04,14.73,0.58,0.12,7.18,62.8,0.17,193.62
2021,11,7,15,291.96,2.61,99.55,0.0,54.5,10.93,402.88,20.18,25.08,15.26,0.15,0.03,3.42,74.05,0.17,93.09
2021,11,7,16,297.47,2.0,99.56,0.0,71.69,12.45,374.08,20.01,22.7,17.32,0.0,0.0,0.62,86.0,0.15,20.32
2021,11,7,17,305.25,2.15,99.6,0.0,65.75,10.44,353.25,17.95,21.27,14.64,0.0,0.0,0.0,-999.0,-999.0,0.0
